image_name,xmin,xmax,ymin,ymax,class_id
10_0_64_2018_04_men_1844_1_aug_2382.jpg,523,589,13,118,1
10_0_64_2018_04_men_1844_1_aug_2382.jpg,437,504,12,115,1
10_0_64_2018_04_men_1844_1_aug_2382.jpg,352,419,6,109,1
10_0_64_2018_04_men_1844_1_aug_2382.jpg,266,331,5,106,1
10_0_64_2018_04_men_1844_1_aug_2382.jpg,179,247,1,106,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,144,182,16,91,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,202,245,12,93,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,268,313,14,92,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,329,375,14,96,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,400,443,13,93,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,461,504,11,94,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,522,568,15,97,1
3_0_68_2018_04_men_3109_2_aug_6571.jpg,585,631,11,117,1
10_0_64_2018_04_men_1844_1_aug_2756.jpg,322,388,34,139,1
10_0_64_2018_04_men_1844_1_aug_2756.jpg,406,473,31,134,1
10_0_64_2018_04_men_1844_1_aug_2756.jpg,491,558,31,134,1
10_0_64_2018_04_men_1844_1_aug_2756.jpg,579,644,28,129,1
10_0_64_2018_04_men_1844_1_aug_2756.jpg,664,732,22,129,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,161,197,24,99,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,211,245,22,98,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,259,293,24,98,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,310,343,24,103,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,360,397,29,103,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,411,445,29,102,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,459,501,29,107,1
3_0_39_2018_04_men_1903_2_aug_366.jpg,518,560,31,110,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,320,392,40,155,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,408,477,35,149,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,496,566,29,143,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,580,653,22,140,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,666,742,18,137,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,753,823,15,130,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,836,909,12,125,1
1_0_84_2018_04_men_1474_2_aug_7647.jpg,922,990,12,116,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,369,445,33,148,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,461,521,33,145,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,542,607,35,143,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,617,678,29,137,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,690,747,28,143,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,760,812,26,138,1
3_1_00_2018_04_men_1292_2_aug_877.jpg,824,878,26,139,1
10_0_64_2018_04_men_1844_1_aug_5270.jpg,228,294,23,128,1
10_0_64_2018_04_men_1844_1_aug_5270.jpg,312,379,20,123,1
10_0_64_2018_04_men_1844_1_aug_5270.jpg,397,464,20,123,1
10_0_64_2018_04_men_1844_1_aug_5270.jpg,485,550,17,118,1
10_0_64_2018_04_men_1844_1_aug_5270.jpg,569,637,11,118,1
10_0_64_2018_04_men_1844_1_aug_6938.jpg,255,319,21,125,1
10_0_64_2018_04_men_1844_1_aug_6938.jpg,339,405,22,124,1
10_0_64_2018_04_men_1844_1_aug_6938.jpg,424,490,27,129,1
10_0_64_2018_04_men_1844_1_aug_6938.jpg,512,576,28,128,1
10_0_64_2018_04_men_1844_1_aug_6938.jpg,597,663,27,133,1
10_0_64_2018_04_men_1844_1_aug_7944.jpg,210,274,13,117,1
10_0_64_2018_04_men_1844_1_aug_7944.jpg,294,360,15,117,1
10_0_64_2018_04_men_1844_1_aug_7944.jpg,379,445,19,121,1
10_0_64_2018_04_men_1844_1_aug_7944.jpg,467,531,21,121,1
10_0_64_2018_04_men_1844_1_aug_7944.jpg,552,618,19,125,1
10_0_64_2018_04_men_1844_1_aug_8135.jpg,313,379,28,133,1
10_0_64_2018_04_men_1844_1_aug_8135.jpg,397,464,31,134,1
10_0_64_2018_04_men_1844_1_aug_8135.jpg,482,549,37,140,1
10_0_64_2018_04_men_1844_1_aug_8135.jpg,570,635,40,141,1
10_0_64_2018_04_men_1844_1_aug_8135.jpg,655,723,40,147,1
10_0_64_2018_04_men_1844_1_aug_8442.jpg,291,353,32,135,1
10_0_64_2018_04_men_1844_1_aug_8442.jpg,375,439,32,133,1
10_0_64_2018_04_men_1844_1_aug_8442.jpg,460,524,35,136,1
